Unique code,Divisi,Tahun,Bulan Pengamatan,Kawasan,Varietas Tebu,Bulan Tanam2,Nama Blok,Tanggal Pengamatan,Luas Tanah,Bulan Tanam,Tahun Tanam,Category Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,stem_borer_label,top_borer_label,kutu_perisai_label,Curah hujan (mm),Kategori Luas Tanah
IV20228RGM 01-12065,IV,2022,8,12.0,R06,5,106 TU 41,2022-08-10,5.86,2022-05-01,2022,RC1,RC1,3,4.05,1.1,0.0,5,6,0,130,7.0,Red,Green,Green,130,Medium
IV20228RGM 01-12065,IV,2022,8,12.0,R06,5,102 TU 41,2022-08-10,6.13,2022-05-01,2022,RC1,RC1,3,1.45,4.78,0.0,5,6,0,130,7.0,Green,Red,Green,130,Medium
III20228RGM 02-1085,III,2022,8,12.0,R08,5,27 TS 10,2022-08-10,6.18,2022-05-01,2022,RC1,RC1,3,3.92,1.28,0.0,5,5,10,90,0.0,Red,Green,Green,164,Medium
V20228GMP 55,V,2022,8,20.0,GMP 5,5,153 BS 16,2022-08-11,9.93,2022-05-01,2022,PC,PC,3,0.0,0.32,0.0,5,5,0,102,10.1,Green,Green,Green,234,Big
I20228GMP 55,I,2022,8,19.0,GMP 5,5,94 BS 11,2022-08-11,5.08,2022-05-01,2022,RC1,RC1,3,4.08,7.34,0.0,5,5,10,0,0.0,Red,Black,Green,143,Medium
V20228GMP 55,V,2022,8,20.0,GMP 5,5,156 BS 12,2022-08-11,5.65,2022-05-01,2022,PC,PC,3,0.0,0.1,0.0,5,5,0,102,10.1,Green,Green,Green,234,Medium
I20228GMP 55,I,2022,8,19.0,GMP 5,5,95 BS 17,2022-08-11,12.26,2022-05-01,2022,RC1,RC1,3,4.2,4.78,0.0,5,5,10,0,0.0,Red,Red,Green,143,Big
IV20228RGM 02-1085,IV,2022,8,29.0,R08,5,140 TU 16,2022-08-11,8.09,2022-05-01,2022,RC2,RC2,3,0.0,1.58,0.0,5,5,0,200,9.0,Green,Red,Green,130,Big
IV20228RGM 02-1085,IV,2022,8,29.0,R08,5,140 TU 13,2022-08-11,6.05,2022-05-01,2022,RC2,RC2,3,2.83,2.82,0.0,5,5,0,200,9.0,Red,Red,Green,130,Medium
I20228GMP 55,I,2022,8,21.0,GMP 5,5,63 BS 17,2022-08-12,6.68,2022-05-01,2022,RC1,RC1,3,1.39,1.69,0.0,5,5,10,0,0.0,Green,Red,Green,143,Medium
