Divisi,Varietas Tebu,Kawasan,Nama Blok,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm),is_imputed,stem_borer_label,top_borer_label,kutu_perisai_label,Kategori Luas Tanah
II,GMP 7,10.0,01 BU 01,2022-09-02,5.23,2022-06-01,RC1,3,1.0,0.43,0.0,5,5,0,90,10.0,53,0,Rendah,Rendah,Rendah,Medium
II,GMP 7,10.0,01 BU 01,2022-10-02,5.23,2022-06-01,RC1,4,0.78,0.44,0.2,5,3,0,90,9.0,295,0,Rendah,Rendah,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2022-11-02,5.23,2022-06-01,RC1,5,1.21,1.55,0.1,5,5,0,100,10.3,194,0,Rendah,Rendah,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2022-12-02,5.23,2022-06-01,RC1,6,2.44,5.03,0.9,6,5,0,100,10.1,163,0,Rendah,Sedang,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2023-01-02,5.23,2022-06-01,RC1,7,2.93,4.09,6.05,5,6,0,0,0.0,140,0,Rendah,Sedang,Sedang,Medium
II,GMP 7,10.0,01 BU 01,2023-02-02,5.23,2022-06-01,RC1,8,1.54,1.71,39.65,5,5,0,101,0.0,249,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-03-02,5.23,2022-06-01,RC1,9,2.8,2.48,102.35,5,5,0,110,0.0,391,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-04-02,5.23,2022-06-01,RC1,10,4.23,3.62,146.3,7,0,0,0,0.0,175,0,Rendah,Rendah,Tinggi,Medium
II,GMP 7,10.0,01 BU 01,2023-05-02,5.23,,RC1,11,3.63,10.38,13.45,0,0,0,90,150.0,53,1,Rendah,Tinggi,Rendah,Medium
II,R86,29.0,01 TS 48,2023-01-15,5.87,2022-10-01,RC1,3,0.0,1.12,0.0,5,0,0,0,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,R86,29.0,01 TS 48,2023-02-15,5.87,2022-10-01,RC1,4,0.0,0.44,0.0,5,0,0,0,0.0,249,0,Rendah,Rendah,Rendah,Medium
II,R86,29.0,01 TS 48,2023-03-15,5.87,2022-10-01,RC1,5,1.36,9.47,3.05,5,0,0,107,0.0,391,0,Rendah,Tinggi,Sedang,Medium
II,R86,29.0,01 TS 48,2023-04-15,5.87,2022-10-01,RC1,6,3.21,9.3,2.95,6,0,0,0,0.0,175,0,Sedang,Tinggi,Sedang,Medium
II,R86,29.0,01 TS 48,2023-05-15,5.87,2022-10-01,RC1,7,7.25,15.41,51.0,5,0,0,140,0.0,79,0,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-06-15,5.87,2022-10-01,RC1,8,4.53,18.01,103.75,5,5,0,100,0.0,110,0,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-07-15,5.87,2022-10-01,RC1,9,10.34,18.39,200.0,0,0,0,0,0.0,61,0,Tinggi,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-08-15,5.87,,RC1,10,8.72,14.09,180.7,0,0,0,103,0.0,140,1,Sedang,Tinggi,Tinggi,Medium
II,R86,29.0,01 TS 48,2023-09-15,5.87,,RC1,11,8.72,14.09,180.7,0,0,0,103,0.0,140,1,Sedang,Tinggi,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2022-08-08,6.94,2022-05-01,PC,3,1.22,0.66,0.0,5,5,6,90,10.0,120,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-09-08,6.94,2022-05-01,PC,4,7.14,4.07,0.0,5,5,0,90,10.3,53,0,Tinggi,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-10-08,6.94,2022-05-01,PC,5,3.29,3.79,0.15,5,5,0,101,10.3,295,0,Sedang,Sedang,Sedang,Medium
II,GMP 5,17.0,02 BS 15,2022-11-08,6.94,2022-05-01,PC,6,2.11,5.36,0.4,5,5,0,140,10.0,194,0,Rendah,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2022-12-08,6.94,2022-05-01,PC,7,9.13,4.89,0.05,5,5,0,105,10.0,163,0,Tinggi,Sedang,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2023-01-08,6.94,2022-05-01,PC,8,2.36,3.54,0.4,5,5,0,100,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,17.0,02 BS 15,2023-02-08,6.94,2022-05-01,PC,9,8.37,5.93,52.9,5,5,0,0,0.0,249,0,Sedang,Sedang,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2023-03-08,6.94,2022-05-01,PC,10,6.1,10.11,145.05,5,5,0,100,0.0,391,0,Sedang,Tinggi,Tinggi,Medium
II,GMP 5,17.0,02 BS 15,2023-04-08,6.94,2022-05-01,PC,11,3.55,12.92,142.8,7,0,0,106,0.0,175,0,Rendah,Tinggi,Tinggi,Medium
II,R69,20.0,02 BS 18,2022-11-04,3.59,2022-08-01,RC1,3,0.0,1.91,0.0,5,0,0,90,0.0,194,0,Rendah,Sedang,Rendah,Small
II,R69,20.0,02 BS 18,2022-12-04,3.59,2022-08-01,RC1,4,0.0,1.41,0.0,5,5,0,100,9.0,163,0,Rendah,Rendah,Rendah,Small
II,R69,20.0,02 BS 18,2023-01-04,3.59,2022-08-01,RC1,5,3.53,1.86,0.3,5,5,0,0,0.0,140,0,Sedang,Rendah,Sedang,Small
II,R69,20.0,02 BS 18,2023-02-04,3.59,2022-08-01,RC1,6,3.19,14.73,4.0,5,0,0,0,0.0,249,0,Sedang,Tinggi,Sedang,Small
II,R69,20.0,02 BS 18,2023-03-04,3.59,2022-08-01,RC1,7,0.85,12.22,31.3,5,4,0,90,0.0,391,0,Rendah,Tinggi,Tinggi,Small
II,R69,20.0,02 BS 18,2023-04-04,3.59,2022-08-01,RC1,8,5.13,12.93,61.6,5,5,0,90,0.0,175,0,Sedang,Tinggi,Tinggi,Small
II,R69,20.0,02 BS 18,2023-05-04,3.59,2022-08-01,RC1,9,6.16,14.04,81.6,5,5,0,101,0.0,79,0,Sedang,Tinggi,Tinggi,Small
II,R69,20.0,02 BS 18,2023-06-04,3.59,,RC1,10,7.89,17.31,158.8,6,0,0,100,0.0,194,1,Sedang,Tinggi,Tinggi,Small
II,R69,20.0,02 BS 18,2023-07-04,3.59,,RC1,11,7.89,17.31,158.8,6,0,0,100,0.0,194,1,Sedang,Tinggi,Tinggi,Small
II,R69,20.0,02 BS 22,2022-11-03,5.16,2022-08-01,RC1,3,1.12,0.93,0.0,5,0,0,90,0.0,194,0,Rendah,Rendah,Rendah,Medium
II,R69,20.0,02 BS 22,2022-12-03,5.16,2022-08-01,RC1,4,0.0,0.33,0.0,5,5,0,100,9.0,163,0,Rendah,Rendah,Rendah,Medium
II,R69,20.0,02 BS 22,2023-01-03,5.16,2022-08-01,RC1,5,0.0,1.01,0.05,5,5,0,0,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,R69,20.0,02 BS 22,2023-02-03,5.16,2022-08-01,RC1,6,0.57,9.58,1.05,5,0,0,0,0.0,249,0,Rendah,Tinggi,Sedang,Medium
II,R69,20.0,02 BS 22,2023-03-03,5.16,2022-08-01,RC1,7,1.33,16.5,6.85,5,4,0,90,0.0,391,0,Rendah,Tinggi,Sedang,Medium
II,R69,20.0,02 BS 22,2023-04-03,5.16,2022-08-01,RC1,8,2.56,12.98,49.35,5,5,0,90,0.0,175,0,Rendah,Tinggi,Tinggi,Medium
II,R69,20.0,02 BS 22,2023-05-03,5.16,2022-08-01,RC1,9,3.7,13.85,28.95,5,5,0,101,0.0,79,0,Rendah,Tinggi,Tinggi,Medium
II,R69,20.0,02 BS 22,2023-06-03,5.16,2022-08-01,RC1,10,4.1,16.0,90.2,0,0,0,60,0.0,110,0,Rendah,Tinggi,Tinggi,Medium
II,R69,20.0,02 BS 22,2023-07-03,5.16,,RC1,11,4.1,16.0,90.2,0,0,0,60,0.0,194,1,Rendah,Tinggi,Tinggi,Medium
II,R34,20.0,02 BS 28,2022-11-12,6.08,2022-08-01,RC1,3,0.0,0.64,0.0,5,0,0,90,0.0,194,0,Rendah,Rendah,Rendah,Medium
II,R34,20.0,02 BS 28,2022-12-12,6.08,2022-08-01,RC1,4,0.78,1.97,0.0,5,5,0,0,0.0,163,0,Rendah,Rendah,Rendah,Medium
II,R34,20.0,02 BS 28,2023-01-12,6.08,2022-08-01,RC1,5,1.81,3.28,0.0,5,0,0,0,0.0,140,0,Rendah,Sedang,Rendah,Medium
II,R34,20.0,02 BS 28,2023-02-12,6.08,2022-08-01,RC1,6,0.99,1.7,0.05,5,0,0,0,0.0,249,0,Rendah,Rendah,Rendah,Medium
II,R34,20.0,02 BS 28,2023-03-12,6.08,2022-08-01,RC1,7,5.02,7.58,10.9,5,0,0,0,0.0,391,0,Sedang,Sedang,Sedang,Medium
II,R34,20.0,02 BS 28,2023-04-12,6.08,2022-08-01,RC1,8,6.67,14.65,14.75,6,5,0,0,0.0,175,0,Sedang,Tinggi,Sedang,Medium
II,R34,20.0,02 BS 28,2023-05-12,6.08,2022-08-01,RC1,9,6.27,15.75,12.7,0,0,10,103,0.0,79,0,Sedang,Tinggi,Sedang,Medium
II,R34,20.0,02 BS 28,2023-06-12,6.08,2022-08-01,RC1,10,6.27,15.57,31.65,0,0,0,110,0.0,110,0,Sedang,Tinggi,Sedang,Medium
II,R34,20.0,02 BS 28,2023-07-12,6.08,,RC1,11,6.27,15.57,31.65,0,0,0,110,0.0,194,1,Sedang,Tinggi,Sedang,Medium
II,R69,2.0,02 BU 33,2022-11-18,8.44,2022-08-01,RC2,3,1.14,0.53,0.0,5,0,0,90,0.0,194,0,Rendah,Rendah,Rendah,Big
II,R69,2.0,02 BU 33,2022-12-18,8.44,2022-08-01,RC2,4,0.83,0.14,0.0,5,5,0,100,9.0,163,0,Rendah,Rendah,Rendah,Big
II,R69,2.0,02 BU 33,2023-01-18,8.44,2022-08-01,RC2,5,3.29,0.78,0.25,5,5,0,0,0.0,140,0,Sedang,Rendah,Sedang,Big
II,R69,2.0,02 BU 33,2023-02-18,8.44,2022-08-01,RC2,6,2.73,1.17,3.75,5,0,0,0,0.0,249,0,Rendah,Rendah,Sedang,Big
II,R69,2.0,02 BU 33,2023-03-18,8.44,2022-08-01,RC2,7,4.76,2.98,1.5,5,4,0,90,0.0,391,0,Sedang,Rendah,Sedang,Big
II,R69,2.0,02 BU 33,2023-04-18,8.44,2022-08-01,RC2,8,5.04,6.94,32.1,5,5,0,90,0.0,175,0,Sedang,Sedang,Tinggi,Big
II,R69,2.0,02 BU 33,2023-05-18,8.44,2022-08-01,RC2,9,6.83,8.75,9.55,5,5,0,101,0.0,79,0,Sedang,Sedang,Rendah,Big
II,R69,2.0,02 BU 33,2023-06-18,8.44,,RC2,10,6.83,8.75,9.55,5,5,0,101,0.0,194,1,Sedang,Sedang,Rendah,Big
II,R69,2.0,02 BU 33,2023-07-18,8.44,,RC2,11,6.83,8.75,9.55,5,5,0,101,0.0,194,1,Sedang,Sedang,Rendah,Big
II,R08,17.0,02 TS 15,2022-09-14,7.88,2022-06-01,RC1,3,3.06,2.46,0.0,5,5,0,100,11.0,53,0,Sedang,Sedang,Rendah,Big
II,R08,17.0,02 TS 15,2022-10-14,7.88,2022-06-01,RC1,4,0.0,2.32,0.0,5,5,0,90,9.0,295,0,Rendah,Sedang,Rendah,Big
II,R08,17.0,02 TS 15,2022-11-14,7.88,2022-06-01,RC1,5,3.36,9.34,1.1,5,5,0,100,10.1,194,0,Sedang,Tinggi,Sedang,Big
II,R08,17.0,02 TS 15,2022-12-14,7.88,2022-06-01,RC1,6,2.23,10.49,0.1,5,5,0,0,10.3,163,0,Rendah,Tinggi,Rendah,Big
II,R08,17.0,02 TS 15,2023-01-14,7.88,2022-06-01,RC1,7,4.52,18.39,23.1,5,5,0,101,0.0,140,0,Sedang,Tinggi,Tinggi,Big
II,R08,17.0,02 TS 15,2023-02-14,7.88,2022-06-01,RC1,8,6.69,12.42,78.5,5,5,0,90,0.0,249,0,Sedang,Tinggi,Tinggi,Big
II,R08,17.0,02 TS 15,2023-03-14,7.88,2022-06-01,RC1,9,7.53,7.16,136.35,5,5,0,101,0.0,391,0,Sedang,Sedang,Tinggi,Big
II,R08,17.0,02 TS 15,2023-04-14,7.88,2022-06-01,RC1,10,20.07,18.33,100.0,6,5,0,90,0.0,175,0,Tinggi,Tinggi,Tinggi,Big
II,R08,17.0,02 TS 15,2023-05-14,7.88,,RC1,11,3.55,12.92,142.8,7,0,0,106,0.0,53,1,Rendah,Tinggi,Tinggi,Big
II,GMP 5,21.0,02 TS 32,2022-08-22,4.21,2022-05-01,PC,3,4.35,4.77,0.0,5,5,6,90,10.0,120,0,Sedang,Sedang,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2022-09-22,4.21,2022-05-01,PC,4,4.84,7.79,0.0,5,5,0,90,10.3,53,0,Sedang,Tinggi,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2022-10-22,4.21,2022-05-01,PC,5,3.75,4.42,0.0,5,5,0,101,10.3,295,0,Sedang,Sedang,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2022-11-22,4.21,2022-05-01,PC,6,1.03,6.34,0.0,5,5,0,140,10.0,194,0,Rendah,Sedang,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2022-12-22,4.21,2022-05-01,PC,7,5.1,5.12,0.0,5,5,0,105,10.0,163,0,Sedang,Sedang,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2023-01-22,4.21,2022-05-01,PC,8,2.33,3.65,0.0,5,5,0,100,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2023-02-22,4.21,2022-05-01,PC,9,3.94,3.87,3.4,5,5,0,0,0.0,249,0,Rendah,Rendah,Rendah,Medium
II,GMP 5,21.0,02 TS 32,2023-03-22,4.21,2022-05-01,PC,10,1.27,6.71,50.9,5,5,0,100,0.0,391,0,Rendah,Sedang,Tinggi,Medium
II,GMP 5,21.0,02 TS 32,2023-04-22,4.21,2022-05-01,PC,11,5.7,15.04,65.0,7,0,0,106,0.0,175,0,Sedang,Tinggi,Tinggi,Medium
II,GMP 7,27.0,02 TS 34b,2022-10-16,1.31,2022-07-01,PC,3,0.0,0.0,0.0,5,5,0,100,0.0,295,0,Rendah,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2022-11-16,1.31,2022-07-01,PC,4,0.0,1.57,0.0,5,0,0,102,10.3,194,0,Rendah,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2022-12-16,1.31,2022-07-01,PC,5,0.0,1.56,0.0,5,0,0,0,10.1,163,0,Rendah,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2023-01-16,1.31,2022-07-01,PC,6,1.64,1.26,0.0,5,0,0,1000,0.0,140,0,Rendah,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2023-02-16,1.31,2022-07-01,PC,7,2.94,3.21,0.33,5,0,0,110,0.0,249,0,Rendah,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2023-03-16,1.31,2022-07-01,PC,8,10.0,3.4,0.17,5,0,0,106,0.0,391,0,Tinggi,Rendah,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2023-04-16,1.31,,PC,9,8.28,18.63,40.0,0,0,0,0,0.0,295,1,Sedang,Tinggi,Tinggi,Small
II,GMP 7,27.0,02 TS 34b,2023-05-16,1.31,2022-07-01,PC,10,6.25,6.35,1.33,0,5,10,90,0.0,79,0,Sedang,Sedang,Rendah,Small
II,GMP 7,27.0,02 TS 34b,2023-06-16,1.31,2022-07-01,PC,11,8.04,7.26,2.67,0,0,0,100,0.0,110,0,Sedang,Sedang,Rendah,Small
II,GMP 7,27.0,02 TS 45,2022-12-09,4.18,2022-09-01,PC,3,0.0,0.0,0.0,5,0,0,90,4.0,163,0,Rendah,Rendah,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-01-09,4.18,2022-09-01,PC,4,1.54,0.44,0.0,5,5,0,100,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-02-09,4.18,2022-09-01,PC,5,1.33,2.4,0.0,5,5,0,100,0.0,249,0,Rendah,Rendah,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-03-09,4.18,2022-09-01,PC,6,2.25,9.16,0.2,5,4,0,90,0.0,391,0,Rendah,Tinggi,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-04-09,4.18,2022-09-01,PC,7,2.61,13.12,0.9,6,5,0,102,0.0,175,0,Rendah,Tinggi,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-05-09,4.18,2022-09-01,PC,8,8.4,19.8,2.9,5,5,0,108,0.0,79,0,Sedang,Tinggi,Rendah,Medium
II,GMP 7,27.0,02 TS 45,2023-06-09,4.18,2022-09-01,PC,9,6.54,19.14,13.4,5,5,0,102,0.0,110,0,Sedang,Tinggi,Sedang,Medium
II,GMP 7,27.0,02 TS 45,2023-07-09,4.18,2022-09-01,PC,10,8.23,17.65,61.2,0,0,0,107,150.0,61,0,Sedang,Tinggi,Tinggi,Medium
II,GMP 7,27.0,02 TS 45,2023-08-09,4.18,,PC,11,8.04,7.26,2.67,0,0,0,100,0.0,163,1,Sedang,Sedang,Rendah,Medium
II,R34,11.0,02 TU 01,2022-09-07,4.25,2022-06-01,RC1,3,2.27,0.47,0.0,5,5,0,0,10.3,53,0,Sedang,Rendah,Rendah,Medium
II,R34,11.0,02 TU 01,2022-10-07,4.25,2022-06-01,RC1,4,3.03,0.45,0.1,5,0,0,0,0.0,295,0,Sedang,Rendah,Sedang,Medium
II,R34,11.0,02 TU 01,2022-11-07,4.25,2022-06-01,RC1,5,1.37,0.82,0.6,5,4,0,0,10.0,194,0,Rendah,Rendah,Sedang,Medium
II,R34,11.0,02 TU 01,2022-12-07,4.25,2022-06-01,RC1,6,1.05,0.0,0.0,6,0,0,140,10.0,163,0,Rendah,Rendah,Rendah,Medium
II,R34,11.0,02 TU 01,2023-01-07,4.25,2022-06-01,RC1,7,0.88,0.56,0.0,5,0,0,0,0.0,140,0,Rendah,Rendah,Rendah,Medium
II,R34,11.0,02 TU 01,2023-02-07,4.25,2022-06-01,RC1,8,3.28,0.91,6.0,5,0,0,0,0.0,249,0,Rendah,Rendah,Sedang,Medium
II,R34,11.0,02 TU 01,2023-03-07,4.25,2022-06-01,RC1,9,7.24,6.65,75.0,5,0,0,0,0.0,391,0,Sedang,Sedang,Tinggi,Medium
II,R34,11.0,02 TU 01,2023-04-07,4.25,,RC1,10,5.63,13.75,97.5,0,0,0,0,0.0,53,1,Sedang,Tinggi,Tinggi,Medium
II,R34,11.0,02 TU 01,2023-05-07,4.25,,RC1,11,5.63,13.75,97.5,0,0,0,0,0.0,53,1,Sedang,Tinggi,Tinggi,Medium
II,R69,3.0,02 TU 37,2022-11-23,5.84,,RC2,3,0.0,0.66,0.0,5,0,0,100,0.0,194,1,Rendah,Rendah,Rendah,Medium
II,R69,3.0,02 TU 37,2022-12-23,5.84,2022-07-01,RC2,4,1.02,0.22,0.0,5,0,0,90,10.3,194,0,Rendah,Rendah,Rendah,Medium
II,R69,3.0,02 TU 37,2023-01-23,5.84,2022-07-01,RC2,5,0.0,1.84,0.0,5,5,0,90,10.3,163,0,Rendah,Rendah,Rendah,Medium
II,R69,3.0,02 TU 37,2023-02-23,5.84,2022-07-01,RC2,6,1.33,3.28,0.9,5,5,0,101,0.0,140,0,Rendah,Sedang,Sedang,Medium
II,R69,3.0,02 TU 37,2023-03-23,5.84,2022-07-01,RC2,7,2.25,3.61,5.85,5,0,0,100,0.0,249,0,Rendah,Sedang,Sedang,Medium
II,R69,3.0,02 TU 37,2023-04-23,5.84,2022-07-01,RC2,8,1.71,4.19,0.2,5,5,0,100,0.0,391,0,Rendah,Sedang,Rendah,Medium
II,R69,3.0,02 TU 37,2023-05-23,5.84,2022-07-01,RC2,9,2.82,6.37,12.25,6,5,0,100,0.0,175,0,Rendah,Sedang,Sedang,Medium
II,R69,3.0,02 TU 37,2023-06-23,5.84,2022-07-01,RC2,10,4.03,5.83,72.1,6,0,0,100,0.0,79,0,Rendah,Sedang,Tinggi,Medium
II,R69,3.0,02 TU 37,2023-07-23,5.84,,RC2,11,8.2,10.45,35.5,0,0,0,106,14.0,194,1,Sedang,Tinggi,Sedang,Medium
II,R08,26.0,03 BS 40,2022-10-16,6.03,2022-07-01,PC,3,0.0,0.46,0.0,5,5,0,100,200.0,295,0,Rendah,Rendah,Rendah,Medium
II,R08,26.0,03 BS 40,2022-11-16,6.03,2022-07-01,PC,4,0.0,3.2,0.0,5,4,0,101,10.1,194,0,Rendah,Sedang,Rendah,Medium
II,R08,26.0,03 BS 40,2022-12-16,6.03,2022-07-01,PC,5,3.36,5.77,0.0,5,5,0,0,4.0,163,0,Sedang,Sedang,Rendah,Medium
II,R08,26.0,03 BS 40,2023-01-16,6.03,2022-07-01,PC,6,2.02,13.58,0.0,5,5,0,100,0.0,140,0,Rendah,Tinggi,Rendah,Medium
II,R08,26.0,03 BS 40,2023-02-16,6.03,2022-07-01,PC,7,6.19,12.49,0.7,5,0,0,105,0.0,249,0,Sedang,Tinggi,Rendah,Medium
II,R08,26.0,03 BS 40,2023-03-16,6.03,2022-07-01,PC,8,4.46,12.05,0.3,5,5,0,103,0.0,391,0,Sedang,Tinggi,Rendah,Medium
II,R08,26.0,03 BS 40,2023-04-16,6.03,2022-07-01,PC,9,6.94,20.91,21.4,6,5,0,90,0.0,175,0,Sedang,Tinggi,Tinggi,Medium
II,R08,26.0,03 BS 40,2023-05-16,6.03,2022-07-01,PC,10,5.86,21.36,76.25,0,0,9,105,0.0,79,0,Sedang,Tinggi,Tinggi,Medium
II,R08,26.0,03 BS 40,2023-06-16,6.03,2022-07-01,PC,11,8.14,21.37,155.1,0,0,0,90,0.0,110,0,Sedang,Tinggi,Tinggi,Medium
II,R08,26.0,03 BS 45,2022-10-16,4.4,2022-07-01,PC,3,0.0,0.0,0.0,5,5,0,100,200.0,295,0,Rendah,Rendah,Rendah,Medium
II,R08,26.0,03 BS 45,2022-11-16,4.4,2022-07-01,PC,4,0.0,3.89,0.0,5,4,0,101,10.1,194,0,Rendah,Sedang,Rendah,Medium
II,R08,26.0,03 BS 45,2022-12-16,4.4,2022-07-01,PC,5,1.32,1.89,0.7,5,5,0,0,4.0,163,0,Rendah,Rendah,Sedang,Medium
II,R08,26.0,03 BS 45,2023-01-16,4.4,2022-07-01,PC,6,2.0,9.35,0.0,5,5,0,100,0.0,140,0,Rendah,Tinggi,Rendah,Medium
II,R08,26.0,03 BS 45,2023-02-16,4.4,2022-07-01,PC,7,1.85,4.46,5.4,5,0,0,105,0.0,249,0,Rendah,Sedang,Sedang,Medium
II,R08,26.0,03 BS 45,2023-03-16,4.4,2022-07-01,PC,8,1.49,10.14,1.5,5,5,0,103,0.0,391,0,Rendah,Tinggi,Rendah,Medium
II,R08,26.0,03 BS 45,2023-04-16,4.4,2022-07-01,PC,9,4.11,2.41,83.6,6,5,0,90,0.0,175,0,Rendah,Rendah,Tinggi,Medium
II,R08,26.0,03 BS 45,2023-05-16,4.4,2022-07-01,PC,10,6.33,10.82,116.6,0,0,9,105,0.0,79,0,Sedang,Tinggi,Tinggi,Medium
II,R08,26.0,03 BS 45,2023-06-16,4.4,2022-07-01,PC,11,8.81,12.82,145.0,0,0,0,90,0.0,110,0,Sedang,Tinggi,Tinggi,Medium
II,R69,2.0,03 BU 36,2022-11-19,3.37,2022-08-01,RC2,3,0.0,0.36,0.0,5,0,0,90,0.0,194,0,Rendah,Rendah,Rendah,Small
II,R69,2.0,03 BU 36,2022-12-19,3.37,2022-08-01,RC2,4,0.0,0.21,0.0,5,5,0,100,9.0,163,0,Rendah,Rendah,Rendah,Small
II,R69,2.0,03 BU 36,2023-01-19,3.37,2022-08-01,RC2,5,1.28,0.19,1.1,5,5,0,0,0.0,140,0,Rendah,Rendah,Sedang,Small
II,R69,2.0,03 BU 36,2023-02-19,3.37,2022-08-01,RC2,6,4.35,3.2,3.0,5,0,0,0,0.0,249,0,Sedang,Sedang,Sedang,Small
II,R69,2.0,03 BU 36,2023-03-19,3.37,2022-08-01,RC2,7,1.61,1.68,0.2,5,4,0,90,0.0,391,0,Rendah,Rendah,Rendah,Small
II,R69,2.0,03 BU 36,2023-04-19,3.37,2022-08-01,RC2,8,7.87,5.97,17.6,5,5,0,90,0.0,175,0,Sedang,Sedang,Tinggi,Small
II,R69,2.0,03 BU 36,2023-05-19,3.37,2022-08-01,RC2,9,7.91,7.02,48.2,5,5,0,101,0.0,79,0,Sedang,Sedang,Tinggi,Small
II,R69,2.0,03 BU 36,2023-06-19,3.37,,RC2,10,7.91,7.02,48.2,5,5,0,101,0.0,194,1,Sedang,Sedang,Tinggi,Small
II,R69,2.0,03 BU 36,2023-07-19,3.37,,RC2,11,7.91,7.02,48.2,5,5,0,101,0.0,194,1,Sedang,Sedang,Tinggi,Small
II,R54,26.0,04 BS 50,2022-11-26,7.93,2022-08-01,PC,3,0.0,0.0,0.0,0,0,0,0,0.0,194,0,Rendah,Rendah,Rendah,Big
II,R54,26.0,04 BS 50,2022-12-26,7.93,2022-08-01,PC,4,0.0,0.1,0.0,0,0,0,0,0.0,163,0,Rendah,Rendah,Rendah,Big
II,R54,26.0,04 BS 50,2023-01-26,7.93,2022-08-01,PC,5,0.61,1.82,0.0,0,0,0,0,0.0,140,0,Rendah,Rendah,Rendah,Big
II,R54,26.0,04 BS 50,2023-02-26,7.93,2022-08-01,PC,6,3.47,2.74,0.5,0,0,0,0,0.0,249,0,Sedang,Rendah,Sedang,Big
II,R54,26.0,04 BS 50,2023-03-26,7.93,2022-08-01,PC,7,1.95,6.86,0.95,0,0,0,0,0.0,391,0,Rendah,Sedang,Rendah,Big
II,R54,26.0,04 BS 50,2023-04-26,7.93,2022-08-01,PC,8,4.62,8.07,7.8,0,0,0,0,0.0,175,0,Sedang,Sedang,Sedang,Big
II,R54,26.0,04 BS 50,2023-05-26,7.93,2022-08-01,PC,9,7.6,10.98,9.65,0,0,0,0,0.0,79,0,Sedang,Tinggi,Rendah,Big
II,R54,26.0,04 BS 50,2023-06-26,7.93,2022-08-01,PC,10,4.62,11.48,51.0,0,0,0,0,0.0,110,0,Rendah,Tinggi,Tinggi,Big
II,R54,26.0,04 BS 50,2023-07-26,7.93,2022-08-01,PC,11,5.15,12.95,147.7,0,0,0,0,0.0,61,0,Sedang,Tinggi,Tinggi,Big
II,R86,10.0,04 BU 11,2022-12-02,7.63,2022-09-01,PC,3,0.0,0.36,0.0,5,0,0,102,0.0,163,0,Rendah,Rendah,Rendah,Big
II,R86,10.0,04 BU 11,2023-01-02,7.63,2022-09-01,PC,4,0.0,2.14,0.0,5,5,0,90,0.0,140,0,Rendah,Sedang,Rendah,Big
II,R86,10.0,04 BU 11,2023-02-02,7.63,2022-09-01,PC,5,2.33,4.43,0.0,5,0,0,1000,0.0,249,0,Rendah,Sedang,Rendah,Big
II,R86,10.0,04 BU 11,2023-03-02,7.63,2022-09-01,PC,6,0.95,5.63,0.25,5,5,0,102,0.0,391,0,Rendah,Sedang,Rendah,Big
II,R86,10.0,04 BU 11,2023-04-02,7.63,2022-09-01,PC,7,2.18,4.62,0.05,5,0,0,100,0.0,175,0,Rendah,Sedang,Rendah,Big
