Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
45 TU 08,3,III,R08,14.0,2022-08-05,3.94,2022-05-01,PC,0.0,0.89,0.0,5.0,5.0,10.0,90.0,0.0,164.0,2022,8,164
45 TU 08,4,III,R08,14.0,2022-09-06,3.94,2022-05-01,PC,0.0,1.01,0.0,5.0,5.0,10.0,90.0,0.0,30.0,2022,9,30
45 TU 08,5,III,R08,14.0,2022-10-04,3.94,2022-05-01,PC,1.37,4.76,0.1,5.0,4.0,10.0,90.0,0.0,306.0,2022,10,306
45 TU 08,6,III,R08,14.0,2022-11-07,3.94,2022-05-01,PC,1.23,9.7,0.2,5.0,5.0,0.0,1000.0,0.0,221.0,2022,11,221
45 TU 08,7,III,R08,14.0,2022-12-05,3.94,2022-05-01,PC,0.91,2.21,0.0,5.0,5.0,0.0,1000.0,0.0,226.0,2022,12,226
45 TU 08,8,III,R08,14.0,2023-01-15,3.94,2022-05-01,PC,1.55,2.94,0.2,5.0,5.0,10.0,1000.0,0.0,223.0,2023,1,223
45 TU 08,9,III,R08,14.0,2023-02-06,3.94,2022-05-01,PC,1.36,5.02,0.0,5.0,5.0,10.0,1000.0,0.0,267.0,2023,2,267
45 TU 08,10,III,R08,14.0,2023-03-10,3.94,2022-05-01,PC,0.0,4.92,1.7,5.0,5.0,10.0,1000.0,0.0,471.0,2023,3,471
45 TU 08,11,III,R08,14.0,2023-04-10,3.94,2022-05-01,PC,2.33,6.92,28.7,0.0,0.0,0.0,1000.0,0.0,202.0,2023,4,202
112 BU 29,3,V,R08,8.0,2022-08-06,5.39,2022-05-01,RC2,1.14,0.64,0.0,5.0,5.0,0.0,103.0,10.1,234.0,2022,8,234
112 BU 29,4,V,R08,8.0,2022-09-07,5.39,2022-05-01,RC2,0.95,1.7,0.0,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
112 BU 29,5,V,R08,8.0,2022-10-06,5.39,2022-05-01,RC2,0.67,0.4,0.0,6.0,0.0,0.0,101.0,0.0,315.0,2022,10,315
