Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
60 BS 30,9,I,R08,25.0,2023-02-16,4.11,2022-05-01,RC2,3.25,23.08,8.9,5.0,5.0,0.0,160.0,0.0,222.0,2023,2,222
60 BS 30,10,I,R08,25.0,2023-03-17,4.11,2022-05-01,RC2,2.91,29.98,13.0,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
60 BS 30,11,I,R08,25.0,2023-03-01,4.11,2022-05-01,RC2,2.91,29.98,13.0,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
61 BS 34,3,I,R08,28.0,2022-08-20,6.15,2022-05-01,RC2,1.52,2.04,0.0,5.0,5.0,11.0,0.0,0.0,143.0,2022,8,143
61 BS 34,4,I,R08,28.0,2022-09-19,6.15,2022-05-01,RC2,1.43,3.62,0.3,5.0,5.0,10.0,0.0,0.0,48.0,2022,9,48
61 BS 34,5,I,R08,28.0,2022-10-20,6.15,2022-05-01,RC2,4.35,7.69,0.8,6.0,5.0,10.0,0.0,0.0,243.0,2022,10,243
61 BS 34,6,I,R08,28.0,2022-11-21,6.15,2022-05-01,RC2,4.04,14.95,0.7,5.0,5.0,10.0,0.0,0.0,177.0,2022,11,177
61 BS 34,7,I,R08,28.0,2022-12-20,6.15,2022-05-01,RC2,11.21,16.63,0.0,5.0,5.0,10.0,0.0,0.0,146.0,2022,12,146
61 BS 34,8,I,R08,28.0,2023-01-15,6.15,2022-05-01,RC2,1.57,24.77,11.0,5.0,5.0,0.0,104.0,0.0,181.0,2023,1,181
61 BS 34,9,I,R08,28.0,2023-02-16,6.15,2022-05-01,RC2,4.14,18.62,68.2,5.0,5.0,0.0,160.0,0.0,222.0,2023,2,222
61 BS 34,10,I,R08,28.0,2023-03-17,6.15,2022-05-01,RC2,1.69,30.61,182.1,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
61 BS 34,11,I,R08,28.0,2023-03-01,6.15,2022-05-01,RC2,1.69,30.61,182.1,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
63 BS 32,3,I,R08,25.0,2022-08-20,7.05,2022-05-01,RC2,0.0,2.58,0.0,5.0,5.0,11.0,0.0,0.0,143.0,2022,8,143
63 BS 32,4,I,R08,25.0,2022-09-20,7.05,2022-05-01,RC2,1.46,3.13,0.0,5.0,5.0,10.0,0.0,0.0,48.0,2022,9,48
63 BS 32,5,I,R08,25.0,2022-10-20,7.05,2022-05-01,RC2,1.16,5.99,0.05,6.0,5.0,10.0,0.0,0.0,243.0,2022,10,243
63 BS 32,6,I,R08,25.0,2022-11-21,7.05,2022-05-01,RC2,2.84,11.35,0.0,5.0,5.0,10.0,0.0,0.0,177.0,2022,11,177
63 BS 32,7,I,R08,25.0,2022-12-20,7.05,2022-05-01,RC2,5.66,22.21,0.0,5.0,5.0,10.0,0.0,0.0,146.0,2022,12,146
63 BS 32,8,I,R08,25.0,2023-01-15,7.05,2022-05-01,RC2,1.7,28.75,16.8,5.0,5.0,0.0,104.0,0.0,181.0,2023,1,181
63 BS 32,9,I,R08,25.0,2023-02-16,7.05,2022-05-01,RC2,4.53,21.87,50.95,5.0,5.0,0.0,160.0,0.0,222.0,2023,2,222
63 BS 32,10,I,R08,25.0,2023-03-14,7.05,2022-05-01,RC2,3.29,38.12,68.8,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
63 BS 32,11,I,R08,25.0,2023-03-01,7.05,2022-05-01,RC2,3.29,38.12,68.8,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
65 BS 34,3,I,R08,28.0,2022-08-20,4.69,2022-05-01,RC1,0.81,2.04,0.0,5.0,5.0,11.0,0.0,0.0,143.0,2022,8,143
65 BS 34,4,I,R08,28.0,2022-09-20,4.69,2022-05-01,RC1,0.0,6.74,0.0,5.0,5.0,10.0,0.0,0.0,48.0,2022,9,48
65 BS 34,5,I,R08,28.0,2022-10-20,4.69,2022-05-01,RC1,2.35,9.21,0.13,6.0,5.0,10.0,0.0,0.0,243.0,2022,10,243
65 BS 34,6,I,R08,28.0,2022-11-21,4.69,2022-05-01,RC1,4.33,15.45,0.83,5.0,5.0,10.0,0.0,0.0,177.0,2022,11,177
65 BS 34,7,I,R08,28.0,2022-12-20,4.69,2022-05-01,RC1,7.6,28.07,0.42,5.0,5.0,10.0,0.0,0.0,146.0,2022,12,146
65 BS 34,8,I,R08,28.0,2023-01-15,4.69,2022-05-01,RC1,2.11,32.85,14.92,5.0,5.0,0.0,104.0,0.0,181.0,2023,1,181
65 BS 34,9,I,R08,28.0,2023-02-16,4.69,2022-05-01,RC1,3.48,24.67,72.08,5.0,5.0,0.0,160.0,0.0,222.0,2023,2,222
65 BS 34,10,I,R08,28.0,2023-03-14,4.69,2022-05-01,RC1,2.61,34.42,138.17,5.0,5.0,0.0,140.0,0.0,363.0,2023,3,363
65 BS 34,11,I,R08,28.0,2023-04-29,4.69,2022-05-01,RC1,6.13,24.21,140.04,0.0,0.0,0.0,0.0,0.0,149.0,2023,4,149
63 TS 28,3,III,GMP 5,21.0,2022-08-20,4.56,2022-05-01,PC,0.0,1.88,0.0,5.0,5.0,10.0,1000.0,0.0,164.0,2022,8,164
63 TS 28,4,III,GMP 5,21.0,2022-09-20,4.56,2022-05-01,PC,0.0,3.75,0.0,5.0,4.0,10.0,1000.0,0.0,30.0,2022,9,30
63 TS 28,5,III,GMP 5,21.0,2022-10-19,4.56,2022-05-01,PC,0.0,0.23,0.0,5.0,4.0,10.0,1000.0,0.0,306.0,2022,10,306
63 TS 28,6,III,GMP 5,21.0,2022-11-23,4.56,2022-05-01,PC,1.08,4.69,0.0,5.0,4.0,0.0,1000.0,0.0,221.0,2022,11,221
63 TS 28,7,III,GMP 5,21.0,2022-12-21,4.56,2022-05-01,PC,1.89,3.43,0.0,5.0,0.0,0.0,1000.0,0.0,226.0,2022,12,226
63 TS 28,8,III,GMP 5,21.0,2023-01-15,4.56,2022-05-01,PC,1.57,5.09,0.4,4.0,0.0,0.0,1000.0,0.0,223.0,2023,1,223
63 TS 28,9,III,GMP 5,21.0,2023-02-21,4.56,2022-05-01,PC,0.69,3.76,0.3,5.0,5.0,0.0,1000.0,0.0,267.0,2023,2,267
63 TS 28,10,III,GMP 5,21.0,2023-03-18,4.56,2022-05-01,PC,1.97,3.97,1.0,5.0,0.0,0.0,1000.0,0.0,471.0,2023,3,471
63 TS 28,11,III,GMP 5,21.0,2023-04-17,4.56,2022-05-01,PC,1.76,3.77,2.0,5.0,4.0,10.0,1000.0,0.0,202.0,2023,4,202
62 TS 26,3,III,GMP 5,21.0,2022-08-20,4.36,2022-05-01,PC,2.94,0.0,0.0,5.0,5.0,10.0,1000.0,0.0,164.0,2022,8,164
62 TS 26,4,III,GMP 5,21.0,2022-09-20,4.36,2022-05-01,PC,1.89,5.44,0.0,5.0,4.0,10.0,1000.0,0.0,30.0,2022,9,30
62 TS 26,5,III,GMP 5,21.0,2022-10-19,4.36,2022-05-01,PC,0.0,3.39,0.0,5.0,4.0,10.0,1000.0,0.0,306.0,2022,10,306
62 TS 26,6,III,GMP 5,21.0,2022-11-23,4.36,2022-05-01,PC,0.0,8.85,0.0,5.0,4.0,0.0,1000.0,0.0,221.0,2022,11,221
62 TS 26,7,III,GMP 5,21.0,2022-12-21,4.36,2022-05-01,PC,2.75,4.57,0.0,5.0,0.0,0.0,1000.0,0.0,226.0,2022,12,226
62 TS 26,8,III,GMP 5,21.0,2023-01-15,4.36,2022-05-01,PC,3.2,4.24,0.2,4.0,0.0,0.0,1000.0,0.0,223.0,2023,1,223
62 TS 26,9,III,GMP 5,21.0,2023-02-17,4.36,2022-05-01,PC,1.55,5.23,0.9,5.0,5.0,0.0,1000.0,0.0,267.0,2023,2,267
62 TS 26,10,III,GMP 5,21.0,2023-03-18,4.36,2022-05-01,PC,2.04,4.5,0.4,5.0,0.0,0.0,1000.0,0.0,471.0,2023,3,471
62 TS 26,11,III,GMP 5,21.0,2023-04-17,4.36,2022-05-01,PC,2.33,3.44,6.9,5.0,4.0,10.0,1000.0,0.0,202.0,2023,4,202
132 BU 15,3,V,R08,11.0,2022-08-21,7.7,2022-05-01,RC2,0.0,1.51,0.0,5.0,5.0,0.0,103.0,10.1,234.0,2022,8,234
132 BU 15,4,V,R08,11.0,2022-09-19,7.7,2022-05-01,RC2,0.88,4.55,0.0,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
132 BU 15,5,V,R08,11.0,2022-10-15,7.7,2022-05-01,RC2,1.95,5.26,0.1,6.0,0.0,0.0,101.0,0.0,315.0,2022,10,315
132 BU 15,6,V,R08,11.0,2022-11-23,7.7,2022-05-01,RC2,4.42,21.1,0.35,5.0,4.0,0.0,105.0,0.0,314.0,2022,11,314
132 BU 15,7,V,R08,11.0,2022-12-21,7.7,2022-05-01,RC2,2.34,15.46,0.15,5.0,5.0,0.0,104.0,0.0,241.0,2022,12,241
132 BU 15,8,V,R08,11.0,2023-01-15,7.7,2022-05-01,RC2,5.33,19.72,0.0,5.0,5.0,0.0,103.0,0.0,225.0,2023,1,225
132 BU 15,9,V,R08,11.0,2023-02-17,7.7,2022-05-01,RC2,5.4,18.67,159.1,5.0,5.0,4.0,120.0,4.0,286.0,2023,2,286
132 BU 15,10,V,R08,11.0,2023-03-17,7.7,2022-05-01,RC2,3.09,34.84,47.4,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
132 BU 15,11,V,R08,11.0,2023-03-01,7.7,2022-05-01,RC2,3.09,34.84,47.4,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
131 BU 13,3,V,R08,11.0,2022-08-21,4.77,2022-05-01,RC2,0.0,0.75,0.0,5.0,5.0,0.0,103.0,10.1,234.0,2022,8,234
131 BU 13,4,V,R08,11.0,2022-09-19,4.77,2022-05-01,RC2,0.0,6.5,0.0,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
131 BU 13,5,V,R08,11.0,2022-10-15,4.77,2022-05-01,RC2,1.3,3.49,0.1,6.0,0.0,0.0,101.0,0.0,315.0,2022,10,315
131 BU 13,6,V,R08,11.0,2022-11-18,4.77,2022-05-01,RC2,3.19,14.4,0.0,5.0,4.0,0.0,105.0,0.0,314.0,2022,11,314
131 BU 13,7,V,R08,11.0,2022-12-21,4.77,2022-05-01,RC2,3.74,10.38,5.8,5.0,5.0,0.0,104.0,0.0,241.0,2022,12,241
131 BU 13,8,V,R08,11.0,2023-01-15,4.77,2022-05-01,RC2,0.0,18.55,0.0,5.0,5.0,0.0,103.0,0.0,225.0,2023,1,225
131 BU 13,9,V,R08,11.0,2023-02-17,4.77,2022-05-01,RC2,6.43,16.59,128.1,5.0,5.0,4.0,120.0,4.0,286.0,2023,2,286
131 BU 13,10,V,R08,11.0,2023-03-17,4.77,2022-05-01,RC2,1.37,20.1,17.6,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
131 BU 13,11,V,R08,11.0,2023-03-01,4.77,2022-05-01,RC2,1.37,20.1,17.6,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
02 TS 32,3,II,GMP 5,21.0,2022-08-22,4.21,2022-05-01,PC,4.35,4.77,0.0,5.0,5.0,6.0,90.0,10.0,120.0,2022,8,120
02 TS 32,4,II,GMP 5,21.0,2022-09-21,4.21,2022-05-01,PC,4.84,7.79,0.0,5.0,5.0,0.0,90.0,10.3,53.0,2022,9,53
02 TS 32,5,II,GMP 5,21.0,2022-10-21,4.21,2022-05-01,PC,3.75,4.42,0.0,5.0,5.0,0.0,101.0,10.3,295.0,2022,10,295
02 TS 32,6,II,GMP 5,21.0,2022-11-21,4.21,2022-05-01,PC,1.03,6.34,0.0,5.0,5.0,0.0,140.0,10.0,194.0,2022,11,194
02 TS 32,7,II,GMP 5,21.0,2022-12-22,4.21,2022-05-01,PC,5.1,5.12,0.0,5.0,5.0,0.0,105.0,10.0,163.0,2022,12,163
02 TS 32,8,II,GMP 5,21.0,2023-01-15,4.21,2022-05-01,PC,2.33,3.65,0.0,5.0,5.0,0.0,100.0,0.0,140.0,2023,1,140
02 TS 32,9,II,GMP 5,21.0,2023-02-15,4.21,2022-05-01,PC,3.94,3.87,3.4,5.0,5.0,0.0,0.0,0.0,249.0,2023,2,249
02 TS 32,10,II,GMP 5,21.0,2023-03-21,4.21,2022-05-01,PC,1.27,6.71,50.9,5.0,5.0,0.0,100.0,0.0,391.0,2023,3,391
02 TS 32,11,II,GMP 5,21.0,2023-04-30,4.21,2022-05-01,PC,5.7,15.04,65.0,7.0,0.0,0.0,106.0,0.0,175.0,2023,4,175
29 BS 15,3,II,R08,14.0,2022-08-22,6.92,2022-05-01,RC1,3.09,1.7,0.0,5.0,5.0,0.0,103.0,0.0,120.0,2022,8,120
29 BS 15,4,II,R08,14.0,2022-09-23,6.92,2022-05-01,RC1,0.83,4.2,0.0,5.0,4.0,0.0,100.0,10.0,53.0,2022,9,53
29 BS 15,5,II,R08,14.0,2022-10-24,6.92,2022-05-01,RC1,0.0,15.0,0.15,5.0,5.0,0.0,90.0,9.0,295.0,2022,10,295
29 BS 15,6,II,R08,14.0,2022-11-25,6.92,2022-05-01,RC1,2.58,22.38,0.0,5.0,5.0,0.0,100.0,10.0,194.0,2022,11,194
29 BS 15,7,II,R08,14.0,2022-12-27,6.92,2022-05-01,RC1,3.62,11.15,0.25,5.0,5.0,0.0,90.0,9.0,163.0,2022,12,163
29 BS 15,8,II,R08,14.0,2023-01-15,6.92,2022-05-01,RC1,1.96,28.93,3.15,5.0,5.0,0.0,102.0,0.0,140.0,2023,1,140
29 BS 15,9,II,R08,14.0,2023-02-16,6.92,2022-05-01,RC1,3.89,28.1,56.35,5.0,5.0,0.0,80.0,0.0,249.0,2023,2,249
29 BS 15,10,II,R08,14.0,2023-03-21,6.92,2022-05-01,RC1,7.64,55.03,97.5,0.0,0.0,0.0,0.0,0.0,391.0,2023,3,391
29 BS 15,11,II,R08,14.0,2023-03-01,6.92,2022-05-01,RC1,7.64,55.03,97.5,0.0,0.0,0.0,0.0,0.0,391.0,2023,3,391
128 BU 21,3,V,GMP 5,6.0,2022-08-22,5.12,2022-05-01,RC1,0.0,0.0,0.0,5.0,5.0,0.0,102.0,10.1,234.0,2022,8,234
128 BU 21,4,V,GMP 5,6.0,2022-09-19,5.12,2022-05-01,RC1,0.0,0.63,0.1,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
128 BU 21,5,V,GMP 5,6.0,2022-10-18,5.12,2022-05-01,RC1,1.39,2.15,0.0,5.0,5.0,0.0,100.0,10.0,315.0,2022,10,315
128 BU 21,6,V,GMP 5,6.0,2022-11-19,5.12,2022-05-01,RC1,4.49,6.78,0.0,5.0,5.0,0.0,106.0,0.0,314.0,2022,11,314
128 BU 21,7,V,GMP 5,6.0,2022-12-22,5.12,2022-05-01,RC1,0.93,3.5,0.0,5.0,5.0,0.0,102.0,0.0,241.0,2022,12,241
128 BU 21,8,V,GMP 5,6.0,2023-01-15,5.12,2022-05-01,RC1,0.78,4.75,3.7,5.0,5.0,0.0,170.0,0.0,225.0,2023,1,225
128 BU 21,9,V,GMP 5,6.0,2023-02-17,5.12,2022-05-01,RC1,1.45,11.81,0.4,5.0,5.0,3.0,108.0,0.0,286.0,2023,2,286
128 BU 21,10,V,GMP 5,6.0,2023-03-15,5.12,2022-05-01,RC1,1.33,5.24,2.7,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
128 BU 21,11,V,GMP 5,6.0,2023-04-29,5.12,2022-05-01,RC1,5.23,11.08,87.4,7.0,5.0,10.0,170.0,9.0,168.0,2023,4,168
143 TU 53,3,IV,R08,7.0,2022-08-22,4.31,2022-05-01,PC,0.0,0.0,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
143 TU 53,4,IV,R08,7.0,2022-09-23,4.31,2022-05-01,PC,1.92,3.23,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
143 TU 53,5,IV,R08,7.0,2022-10-25,4.31,2022-05-01,PC,2.99,3.84,0.0,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
143 TU 53,6,IV,R08,7.0,2022-11-27,4.31,2022-05-01,PC,5.49,7.61,0.0,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
143 TU 53,7,IV,R08,7.0,2022-12-24,4.31,2022-05-01,PC,5.26,5.24,0.0,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
143 TU 53,8,IV,R08,7.0,2023-01-15,4.31,2022-05-01,PC,3.01,3.44,4.8,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
143 TU 53,9,IV,R08,7.0,2023-02-24,4.31,2022-05-01,PC,7.19,8.79,48.5,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
143 TU 53,10,IV,R08,7.0,2023-03-16,4.31,2022-05-01,PC,6.08,5.8,28.0,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
143 TU 53,11,IV,R08,7.0,2023-04-21,4.31,2022-05-01,PC,5.81,12.95,19.0,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
175 TU 60,3,IV,R08,11.0,2022-08-22,3.4,2022-05-01,RC2,3.7,1.04,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
175 TU 60,4,IV,R08,11.0,2022-09-23,3.4,2022-05-01,RC2,0.0,6.54,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
175 TU 60,5,IV,R08,11.0,2022-10-23,3.4,2022-05-01,RC2,2.33,8.55,0.3,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
175 TU 60,6,IV,R08,11.0,2022-11-26,3.4,2022-05-01,RC2,4.3,9.98,0.6,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
175 TU 60,7,IV,R08,11.0,2022-12-24,3.4,2022-05-01,RC2,4.5,9.59,14.5,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
175 TU 60,8,IV,R08,11.0,2023-01-15,3.4,2022-05-01,RC2,5.34,7.38,5.9,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
175 TU 60,9,IV,R08,11.0,2023-02-25,3.4,2022-05-01,RC2,0.69,11.45,77.6,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
175 TU 60,10,IV,R08,11.0,2023-03-24,3.4,2022-05-01,RC2,8.16,15.19,71.3,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
175 TU 60,11,IV,R08,11.0,2023-03-01,3.4,2022-05-01,RC2,8.16,15.19,71.3,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
173 TU 57,3,IV,R08,11.0,2022-08-22,3.58,2022-05-01,RC2,1.92,0.57,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
173 TU 57,4,IV,R08,11.0,2022-09-23,3.58,2022-05-01,RC2,0.0,4.67,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
173 TU 57,5,IV,R08,11.0,2022-10-23,3.58,2022-05-01,RC2,1.06,5.88,0.6,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
173 TU 57,6,IV,R08,11.0,2022-11-26,3.58,2022-05-01,RC2,2.17,10.31,14.6,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
173 TU 57,7,IV,R08,11.0,2022-11-01,3.58,2022-05-01,RC2,2.17,10.31,14.6,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
173 TU 57,8,IV,R08,11.0,2023-01-15,3.58,2022-05-01,RC2,4.32,6.47,6.7,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
173 TU 57,9,IV,R08,11.0,2023-02-25,3.58,2022-05-01,RC2,2.07,9.97,66.7,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
173 TU 57,10,IV,R08,11.0,2023-03-23,3.58,2022-05-01,RC2,6.8,11.14,49.2,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
173 TU 57,11,IV,R08,11.0,2023-03-01,3.58,2022-05-01,RC2,6.8,11.14,49.2,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
143 TU 36,3,IV,R08,24.0,2022-08-22,6.36,2022-05-01,PC,2.63,0.0,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
143 TU 36,4,IV,R08,24.0,2022-09-23,6.36,2022-05-01,PC,2.94,1.8,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
143 TU 36,5,IV,R08,24.0,2022-10-25,6.36,2022-05-01,PC,3.05,1.85,0.0,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
143 TU 36,6,IV,R08,24.0,2022-11-24,6.36,2022-05-01,PC,3.45,3.63,0.3,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
143 TU 36,7,IV,R08,24.0,2022-12-26,6.36,2022-05-01,PC,2.37,5.93,0.0,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
143 TU 36,8,IV,R08,24.0,2023-01-15,6.36,2022-05-01,PC,3.19,5.23,0.85,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
143 TU 36,9,IV,R08,24.0,2023-02-24,6.36,2022-05-01,PC,1.53,9.01,0.0,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
143 TU 36,10,IV,R08,24.0,2023-03-20,6.36,2022-05-01,PC,2.08,4.07,6.35,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
143 TU 36,11,IV,R08,24.0,2023-04-21,6.36,2022-05-01,PC,6.33,5.26,38.2,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
129 BU 23,3,V,GMP 5,6.0,2022-08-22,9.67,2022-05-01,RC1,0.0,0.61,0.0,5.0,5.0,0.0,102.0,10.1,234.0,2022,8,234
129 BU 23,4,V,GMP 5,6.0,2022-09-19,9.67,2022-05-01,RC1,0.0,1.3,0.0,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
129 BU 23,5,V,GMP 5,6.0,2022-10-18,9.67,2022-05-01,RC1,0.0,1.33,0.0,5.0,5.0,0.0,100.0,10.0,315.0,2022,10,315
129 BU 23,6,V,GMP 5,6.0,2022-11-19,9.67,2022-05-01,RC1,1.14,9.07,0.0,5.0,5.0,0.0,106.0,0.0,314.0,2022,11,314
129 BU 23,7,V,GMP 5,6.0,2022-12-22,9.67,2022-05-01,RC1,0.74,3.54,0.05,5.0,5.0,0.0,102.0,0.0,241.0,2022,12,241
129 BU 23,8,V,GMP 5,6.0,2023-01-15,9.67,2022-05-01,RC1,0.81,6.35,1.7,5.0,5.0,0.0,170.0,0.0,225.0,2023,1,225
129 BU 23,9,V,GMP 5,6.0,2023-02-17,9.67,2022-05-01,RC1,1.08,14.67,0.3,5.0,5.0,3.0,108.0,0.0,286.0,2023,2,286
129 BU 23,10,V,GMP 5,6.0,2023-03-15,9.67,2022-05-01,RC1,2.68,11.11,1.25,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
129 BU 23,11,V,GMP 5,6.0,2023-04-26,9.67,2022-05-01,RC1,2.81,14.62,59.9,7.0,5.0,10.0,170.0,9.0,168.0,2023,4,168
133 TU 17,3,IV,R08,23.0,2022-08-22,7.5,2022-05-01,RC1,3.23,2.95,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
133 TU 17,4,IV,R08,23.0,2022-09-23,7.5,2022-05-01,RC1,1.35,7.22,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
133 TU 17,5,IV,R08,23.0,2022-10-23,7.5,2022-05-01,RC1,0.79,5.57,0.0,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
133 TU 17,6,IV,R08,23.0,2022-11-26,7.5,2022-05-01,RC1,0.56,12.17,0.7,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
133 TU 17,7,IV,R08,23.0,2022-12-24,7.5,2022-05-01,RC1,2.88,10.76,4.55,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
133 TU 17,8,IV,R08,23.0,2023-01-15,7.5,2022-05-01,RC1,5.78,13.2,1.2,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
133 TU 17,9,IV,R08,23.0,2023-02-24,7.5,2022-05-01,RC1,6.67,16.43,49.2,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
133 TU 17,10,IV,R08,23.0,2023-03-19,7.5,2022-05-01,RC1,5.23,11.96,88.45,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
133 TU 17,11,IV,R08,23.0,2023-04-24,7.5,2022-05-01,RC1,7.86,11.3,134.25,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
136 TU 17,3,IV,R08,23.0,2022-08-22,6.76,2022-05-01,RC1,2.13,1.21,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
136 TU 17,4,IV,R08,23.0,2022-09-23,6.76,2022-05-01,RC1,2.53,6.01,0.05,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
136 TU 17,5,IV,R08,23.0,2022-10-23,6.76,2022-05-01,RC1,3.5,5.09,0.0,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
136 TU 17,6,IV,R08,23.0,2022-11-26,6.76,2022-05-01,RC1,1.19,13.32,1.5,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
136 TU 17,7,IV,R08,23.0,2022-12-24,6.76,2022-05-01,RC1,5.21,11.35,5.3,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
136 TU 17,8,IV,R08,23.0,2023-01-15,6.76,2022-05-01,RC1,1.02,11.13,3.65,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
136 TU 17,9,IV,R08,23.0,2023-02-24,6.76,2022-05-01,RC1,4.65,15.05,53.85,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
136 TU 17,10,IV,R08,23.0,2023-03-20,6.76,2022-05-01,RC1,3.78,12.48,88.05,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
136 TU 17,11,IV,R08,23.0,2023-04-19,6.76,2022-05-01,RC1,6.92,13.6,124.1,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
146 TU 19,3,IV,GMP 5,30.0,2022-08-22,7.39,2022-05-01,RC2,2.27,0.18,0.0,5.0,5.0,0.0,160.0,2.0,130.0,2022,8,130
146 TU 19,4,IV,GMP 5,30.0,2022-09-21,7.39,2022-05-01,RC2,7.14,2.2,0.0,4.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
146 TU 19,5,IV,GMP 5,30.0,2022-10-22,7.39,2022-05-01,RC2,1.28,1.21,0.0,6.0,5.0,0.0,0.0,0.0,304.0,2022,10,304
146 TU 19,6,IV,GMP 5,30.0,2022-11-22,7.39,2022-05-01,RC2,1.15,5.41,0.0,5.0,5.0,0.0,0.0,18.0,201.0,2022,11,201
146 TU 19,7,IV,GMP 5,30.0,2022-12-26,7.39,2022-05-01,RC2,2.53,5.88,0.35,5.0,5.0,0.0,0.0,0.0,251.0,2022,12,251
146 TU 19,8,IV,GMP 5,30.0,2023-01-15,7.39,2022-05-01,RC2,1.96,11.36,3.75,5.0,4.0,0.0,0.0,0.0,233.0,2023,1,233
146 TU 19,9,IV,GMP 5,30.0,2023-02-24,7.39,2022-05-01,RC2,2.05,5.34,5.05,5.0,5.0,0.0,200.0,0.0,313.0,2023,2,313
146 TU 19,10,IV,GMP 5,30.0,2023-03-25,7.39,2022-05-01,RC2,1.66,6.13,11.1,5.0,5.0,6.0,200.0,0.0,402.0,2023,3,402
